6.00051e-06	3.39998e-05	0.001497	0.051942	22	22	0
6.99982e-06	2.80002e-05	0.000858	0.004311	8	8	0
9.0003e-06	2.7e-05	0.000354	0.016926	5	5	0
7.00075e-06	2.59997e-05	0.001034	0.021678	22	22	0
6.00051e-06	2.89995e-05	0.000537001	0.004356	10	10	0
5.00027e-06	3.60003e-05	0.038467	0.414625	1768	1768	0
5.99958e-06	2.29999e-05	0.000398001	0.052193	7	7	0
5.00027e-06	2.29999e-05	0.010497	0.131161	18	18	0
4.99934e-06	3.40007e-05	0.048233	0.137527	2318	1974	0
5.99958e-06	0.000316	0.175264	0.455103	4716	4716	0
5.99958e-06	3.1e-05	0.000753	0.025241	12	12	0
6.00051e-06	3.1e-05	0.002011	0.105949	40	40	0
6.00051e-06	0.000593999	47.2245	0.851815	271697	171511	9144
5.00027e-06	6.30002e-05	0.256804	0.309453	24660	15192	0
5.99958e-06	3.1e-05	0.00084	0.024452	13	13	0
5.00027e-06	2.40002e-05	0.000381	0.008506	10	10	0
6.00051e-06	4.39994e-05	0.044256	0.117047	1882	1584	0
5.99958e-06	3.90001e-05	0.014508	0.081264	420	420	0
6.99982e-06	3.90001e-05	0.121075	0.091844	6175	6163	0
4.99934e-06	3.5e-05	0.040157	0.238037	1594	1533	0
5.99958e-06	3.00007e-05	0.000649	0.002189	12	12	0
5.99958e-06	3.60003e-05	0.091346	0.147988	5587	5546	0
6.99982e-06	3.1e-05	0.000737	0.074109	7	7	0
5.99958e-06	2.40002e-05	0.000347001	0.002005	8	8	0
5.99958e-06	2.80002e-05	0.000718	0.015093	16	16	0
6.00051e-06	3.39998e-05	0.169834	0.38607	12737	12730	6
6.00051e-06	3.1e-05	0.001155	0.000847	12	12	0
5.00027e-06	2.7e-05	0.008397	0.297098	216	216	0
6.99982e-06	3.79998e-05	0.14649	0.283618	7542	7514	0
5.00027e-06	2.09995e-05	0.000927	0.001051	22	22	0
5.99958e-06	2.80002e-05	0.000593	0.00115	6	6	0
5.00027e-06	2.29999e-05	0.014512	0.010909	488	431	0
5.00027e-06	2.19997e-05	0.000352	0.004881	7	7	0
5.99958e-06	4.99999e-05	0.007341	0.029912	78	78	0
6.00051e-06	2.00002e-05	0.000135999	0.000867	2	2	0
5.99958e-06	0.000113	0.035633	0.085822	1336	1223	0
5.99958e-06	2.20006e-05	0.000880999	0.002567	14	14	0
